"","pvalue","# of substrates","substrates"
"MAPK3","0.998313212207813","14","BCL2L11;S55;;BCL2L11;S65;;ZC3HC1;S353;;JUN;S73;;KLC1;S459;;JUN;S63;;ZC3HC1;S358;;LIMA1;S360;;CFL1;T25;;PXN;S83;;SRRM2;S1068;;JAK2;S523;;STIM1;S575;;ATF2;T53;"
"ABL1",NA,NA,NA
"ABL2",NA,NA,NA
"ADRBK1",NA,NA,NA
"AKT2",NA,NA,NA
"AKT3",NA,NA,NA
"ALK",NA,NA,NA
"ATM",NA,NA,NA
"ATR",NA,NA,NA
"AURKA",NA,NA,NA
"AURKC",NA,NA,NA
"BCR.ABL",NA,NA,NA
"BLK",NA,NA,NA
"BMX",NA,NA,NA
"BRD4",NA,NA,NA
"BTK",NA,NA,NA
"CAMK1",NA,NA,NA
"CAMK2D",NA,NA,NA
"CAMK2G",NA,NA,NA
"CAMK4",NA,NA,NA
"CAMKK1",NA,NA,NA
"CAMKK2",NA,NA,NA
