Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-1.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-2.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-3.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-4.raw
Q9D0L8;Q9D0L8-2;Q9D0L8-3	Q9D0L8;Q9D0L8-2;Q9D0L8-3	MCES_MOUSE	Rnmt	mRNA cap guanine-N7 methyltransferase	483099	443693	225491	676491
Q9D0M3;Q9D0M3-2	Q9D0M3;Q9D0M3-2	CY1_MOUSE	Cyc1	Cytochrome c1, heme protein, mitochondrial	16956.6	10984.2	19287.5	23329.2
Q9D0R8	Q9D0R8	LSM12_MOUSE	Lsm12	Protein LSM12	9551.25	18625.4	10153.2	10040.5
Q9D0T1	Q9D0T1	NH2L1_MOUSE	Snu13	NHP2-like protein 1	11663.3	9681.79	19982	12290.2
Q9D0V7	Q9D0V7	RCAS1_MOUSE	Ebag9	Receptor-binding cancer antigen expressed on SiSo cells	433317	278284	247734	426370
Q9D110	Q9D110	MTHFS_MOUSE	Mthfs	5-formyltetrahydrofolate cyclo-ligase				6430.34
Q9D125	Q9D125	RT25_MOUSE	Mrps25	28S ribosomal protein S25, mitochondrial	5039.18			2102.38
Q9D168	Q9D168	INT12_MOUSE	Ints12	Integrator complex subunit 12	34519.9	29006.2	25063.7	61172.8
Q9D172	Q9D172	GAL3A_MOUSE	Gatd3	Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial	7552.82	4962.6	6385.86	7387.62
Q9D1A2	Q9D1A2	CNDP2_MOUSE	Cndp2	Cytosolic non-specific dipeptidase	97817.1	88550	132617	116778
Q9D1D4	Q9D1D4	TMEDA_MOUSE	Tmed10	Transmembrane emp24 domain-containing protein 10	15065.9	17556.6	7263.27	26655.8
Q9D1E6	Q9D1E6	TBCB_MOUSE	Tbcb	Tubulin-folding cofactor B	17540.7	30551.7	15537.9	23354.7
Q9D1F4	Q9D1F4	AKTS1_MOUSE	Akt1s1	Proline-rich AKT1 substrate 1	248300	170930	158188	183694
Q9D1G1	Q9D1G1	RAB1B_MOUSE	Rab1b	Ras-related protein Rab-1B	6503.92	3023.67	16547.8	12737.6
Q9D1K2	Q9D1K2	VATF_MOUSE	Atp6v1f	V-type proton ATPase subunit F	21252.3	19172.9	35014.3	38006.4
Q9D1L0	Q9D1L0	CHCH2_MOUSE	Chchd2	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2	67033.5	54861.9	38803.9	15062.4
Q9D1M0	Q9D1M0	SEC13_MOUSE	Sec13	Protein SEC13 homolog	16270.3	9472.46	16304.6	16716
Q9D1P2;Q9D1P2-2	Q9D1P2;Q9D1P2-2	KAT8_MOUSE	Kat8	Histone acetyltransferase KAT8	508065	562199	452478	296754
Q9D1Q6	Q9D1Q6	ERP44_MOUSE	Erp44	Endoplasmic reticulum resident protein 44	26104.2	27583.5	36430.3	30155.2
Q9D1R2	Q9D1R2	KTI12_MOUSE	Kti12	Protein KTI12 homolog	4588.84	2579.78	2316.77	16031
Q9D1R9	Q9D1R9	RL34_MOUSE	Rpl34	60S ribosomal protein L34	29630.6	28461.1	58149.6	20502.6
Q9D2D7	Q9D2D7;Q9D2D7-2;Q9D2D7-3	ZN687_MOUSE	Znf687	Zinc finger protein 687	46662.5	64190.7	50972.8	37145.4
Q9D2E2	Q9D2E2	TOE1_MOUSE	Toe1	Target of EGR1 protein 1	70373.6	105028	50779.9	215950
Q9D2G2	Q9D2G2;Q9D2G2-2	ODO2_MOUSE	Dlst	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	9663.45	12978.9	20396.1	19758.2
Q9D2M8;Q9D2M8-2	Q9D2M8;Q9D2M8-2	UB2V2_MOUSE	Ube2v2	Ubiquitin-conjugating enzyme E2 variant 2	12898.2	6326.01	11210.9	6905.53
Q9D2R6	Q9D2R6	COA3_MOUSE	Coa3	Cytochrome c oxidase assembly factor 3 homolog, mitochondrial		6800.46	5607.75	5979.29
Q9D2U5	Q9D2U5	LSMD1_MOUSE	Naa38	N-alpha-acetyltransferase 38, NatC auxiliary subunit		20556.1		
Q9D2V7	Q9D2V7	CORO7_MOUSE	Coro7	Coronin-7	5296.27			16560.5
Q9D394-2;Q9D394-4	Q9D394-2;Q9D394-4	RUFY3_MOUSE	Rufy3	Isoform 2 of Protein RUFY3	128379	28757.7	62317.4	98553.7
Q9D3D9	Q9D3D9	ATPD_MOUSE	Atp5f1d	ATP synthase subunit delta, mitochondrial	31711.2	31973.9	62815.8	44609.2
Q9D3P8	Q9D3P8	PLRKT_MOUSE	Plgrkt	Plasminogen receptor (KT)	4177.53	5061.99	8990.4	5203.16
Q9D3S3	Q9D3S3	SNX29_MOUSE	Snx29	Sorting nexin-29	38432.1	42050.2	46129	57637
Q9D3U0	Q9D3U0	PUS10_MOUSE	Pus10	tRNA pseudouridine synthase Pus10	16693.6	7373.17	6141.46	8534.94
Q9D479	Q9D479	UVSSA_MOUSE	Uvssa	UV-stimulated scaffold protein A	47318.6	32105.8	29144.6	51399.4
Q9D4C5	Q9D4C5	EAF1_MOUSE	Eaf1	ELL-associated factor 1	346294	515896	329477	469466
Q9D4H1	Q9D4H1	EXOC2_MOUSE	Exoc2	Exocyst complex component 2	15339.9	21774.7	16862.5	24698.8
Q9D4H2	Q9D4H2	GCC1_MOUSE	Gcc1	GRIP and coiled-coil domain-containing protein 1				34621.9
Q9D4H9;Q9D4H9-1;Q9D4H9-3	Q9D4H9;Q9D4H9-1;Q9D4H9-3	PHF14_MOUSE	Phf14	PHD finger protein 14	4864.74	5320.3	3646.66	11872.6
Q9D4J7;Q9D4J7-2	Q9D4J7;Q9D4J7-2	PHF6_MOUSE	Phf6	PHD finger protein 6	8942.98	8440.52		14973.9
Q9D517	Q9D517	PLCC_MOUSE	Agpat3	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma	42542.8	65418.8	117373	46363.7
Q9D5R2	Q9D5R2	WDR20_MOUSE	Wdr20	WD repeat-containing protein 20	35250.6	16781	26413.3	36857.8
Q9D620	Q9D620	RFIP1_MOUSE	Rab11fip1	Rab11 family-interacting protein 1	301830	402995	252319	165147
Q9D684;Q9D684-2	Q9D684;Q9D684-2	RIN2_MOUSE	Rin2	Ras and Rab interactor 2	6566.18	3575.16	7321.99	23730.4
Q9D6J3	Q9D6J3	YJU2_MOUSE	Yju2	Splicing factor YJU2	40795.9	57182.5	41149.5	64163.9
Q9D6J6;Q9D6J6-2	Q9D6J6;Q9D6J6-2	NDUV2_MOUSE	Ndufv2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	16248.9	15654.7	22071.1	21298.8
Q9D6R2	Q9D6R2;Q9D6R2-2	IDH3A_MOUSE	Idh3a	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	8494.88	13894.6	21010.2	28229.2
