Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-1.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-2.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-3.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-4.raw
P56542	P56542	DNS2A_MOUSE	Dnase2	Deoxyribonuclease-2-alpha	6028.07		19726.3	10564.8
P56695	P56695	WFS1_MOUSE	Wfs1	Wolframin	109518	109057	102200	113501
P56716	P56716	RP1_MOUSE	Rp1	Oxygen-regulated protein 1	30975.6	55815.1	36987.8	22810.5
P56959	P56959	FUS_MOUSE	Fus	RNA-binding protein FUS	33431.7	27034.3	44979.1	36182.4
P57716	P57716	NICA_MOUSE	Ncstn	Nicastrin	4618.14	7641.2	9448.56	10886.1
P57725	P57725	SAMN1_MOUSE	Samsn1	SAM domain-containing protein SAMSN-1	37348.1	22484.6	21486.9	68095.4
P57746	P57746	VATD_MOUSE	Atp6v1d	V-type proton ATPase subunit D	7837.84	7897.01	9382.4	9227.16
P57759	P57759	ERP29_MOUSE	Erp29	Endoplasmic reticulum resident protein 29	45398.1	46548	99046.9	70618.3
P57776-2	P57776;P57776-3;P57776-2	EF1D_MOUSE	Eef1d	Isoform 2 of Elongation factor 1-delta	8.63058e+06	8.70354e+06	7.81154e+06	5.53919e+06
P57780	P57780	ACTN4_MOUSE	Actn4	Alpha-actinin-4	32794.3	24093.6	42793.1	25050.5
P57784	P57784	RU2A_MOUSE	Snrpa1	U2 small nuclear ribonucleoprotein A'	128519	129146	76675.9	86244.8
P57787	P57787	MOT4_MOUSE	Slc16a3	Monocarboxylate transporter 4	126878	142116	130572	159819
P58021	P58021	TM9S2_MOUSE	Tm9sf2	Transmembrane 9 superfamily member 2			4162.88	2564.58
P58058	P58058	NADK_MOUSE	Nadk	NAD kinase	18979.4	106355	34731.2	207678
P58252	P58252	EF2_MOUSE	Eef2	Elongation factor 2	42156.8	49312	85060.8	52612.5
P58283;P58283-2	P58283;P58283-2	RN216_MOUSE	Rnf216	E3 ubiquitin-protein ligase RNF216	13517.9	22229.6	14995.4	46223.8
P58389	P58389	PTPA_MOUSE	Ptpa	Serine/threonine-protein phosphatase 2A activator			2498.38	
P58404;P58404-2	P58404;P58404-2	STRN4_MOUSE	Strn4	Striatin-4	15969	6277.67	13657.8	50521
P58468	P58468	SLX9_MOUSE	Slx9	Ribosome biogenesis protein SLX9 homolog	139266	260420	154351	192237
P58501	P58501;P58501-2	PAXB1_MOUSE	Paxbp1	PAX3- and PAX7-binding protein 1	42067.6	60305.6	56569.9	60370.6
P58686	P58686	BBLN_MOUSE	Bbln	Bublin coiled-coil protein	11443.6	10150.3	3641.42	31729.5
P58771;P58771-2	P58771;P58771-2	TPM1_MOUSE	Tpm1	Tropomyosin alpha-1 chain		51860.4	31917.4	32789
P58801	P58801	RIPK2_MOUSE	Ripk2	Receptor-interacting serine/threonine-protein kinase 2	70157	72999.7	76693.5	152169
P58802	P58802	TB10A_MOUSE	Tbc1d10a	TBC1 domain family member 10A	40418.8	32296.5	29297.5	26658.2
P58871	P58871	TB182_MOUSE	Tnks1bp1	182 kDa tankyrase-1-binding protein	480128	493046	400928	445245
P59017	P59017	B2L13_MOUSE	Bcl2l13	Bcl-2-like protein 13	70403.3	112086	103907	56994.9
P59108	P59108	CPNE2_MOUSE	Cpne2	Copine-2	3005.35	3061.44	4440.16	14077.5
P59114	P59114	CAPAM_MOUSE	Pcif1	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase				9526.46
P59222	P59222	SREC2_MOUSE	Scarf2	Scavenger receptor class F member 2	15321.6	6979.54	9845.55	
P59281;P59281-2	P59281;P59281-2	RHG39_MOUSE	Arhgap39	Rho GTPase-activating protein 39	70026.7	103183	63334.3	87771.3
P59325	P59325	IF5_MOUSE	Eif5	Eukaryotic translation initiation factor 5	11231.1	20640.5	12091.6	24000.5
P59328;P59328-3	P59328;P59328-3	WDHD1_MOUSE	Wdhd1	WD repeat and HMG-box DNA-binding protein 1	26544.7	24139.2	17331.1	18976.8
P59438;P59438-2	P59438;P59438-2	HPS5_MOUSE	Hps5	BLOC-2 complex member HPS5	71098	290410	158549	219083
P59672;P59672-2	P59672;P59672-2	ANS1A_MOUSE	Anks1a	Ankyrin repeat and SAM domain-containing protein 1A	144966	83681.6	83441.6	143473
P59759	P59759	MRTFB_MOUSE	Mrtfb	Myocardin-related transcription factor B	6022.76	55568.9	18190.8	66810.3
P59808	P59808	SASH1_MOUSE	Sash1	SAM and SH3 domain-containing protein 1	148840	164219	146768	209809
P59997	P59997;P59997-2;P59997-3	KDM2A_MOUSE	Kdm2a	Lysine-specific demethylase 2A	31792.2	17693.8	15276.6	9126.64
P59999	P59999	ARPC4_MOUSE	Arpc4	Actin-related protein 2/3 complex subunit 4	48794.4	48760.6	118687	42311.4
P60122	P60122	RUVB1_MOUSE	Ruvbl1	RuvB-like 1	2213.42	10971.4	20325.1	12150
P60335	P60335	PCBP1_MOUSE	Pcbp1	Poly(rC)-binding protein 1	17165.1	20918.7	25737.7	42038.8
P60710;P63260	P60710;P63260	ACTB_MOUSE;ACTG_MOUSE	Actb;Actg1	Actin, cytoplasmic 1	6.23378e+06	5.07008e+06	7.75166e+06	5.96664e+06
P60766	P60766	CDC42_MOUSE	Cdc42	Cell division control protein 42 homolog	79586.6	74095	111080	74775.3
P60843	P60843	IF4A1_MOUSE	Eif4a1	Eukaryotic initiation factor 4A-I	34143.9	34538.3	58380.4	35028.8
P60867	P60867	RS20_MOUSE	Rps20	40S ribosomal protein S20	14005.3	11258.9	27527.1	23577.8
P60904	P60904	DNJC5_MOUSE	Dnajc5	DnaJ homolog subfamily C member 5	151411	19561.7	118690	143418
P61027	P61027	RAB10_MOUSE	Rab10	Ras-related protein Rab-10	19488	27439.9	31660.2	30497.9
P61028	P55258;P61028	RAB8B_MOUSE	Rab8b	Ras-related protein Rab-8B	29835	27726.5	31549.9	35991.9
P61082	P61082	UBC12_MOUSE	Ube2m	NEDD8-conjugating enzyme Ubc12	28565.4	25645.1	26202	24639.8
P61089	P61089	UBE2N_MOUSE	Ube2n	Ubiquitin-conjugating enzyme E2 N	7087.64	8919.23	19991.5	11831.6
P61161	P61161	ARP2_MOUSE	Actr2	Actin-related protein 2	48666	43791.4	62629.6	47998.1
P61164	P61164	ACTZ_MOUSE	Actr1a	Alpha-centractin	5783.58	9607.98	9969.18	8279.72
P61205;P84078	P84078;P61205;Q8BSL7	ARF1_MOUSE;ARF3_MOUSE	Arf1;Arf3	ADP-ribosylation factor 3	28440	16254.7	19055.8	10471.5
P61211	P61211	ARL1_MOUSE	Arl1	ADP-ribosylation factor-like protein 1	3779.47		4502.92	2558.03
P61255	P61255	RL26_MOUSE	Rpl26	60S ribosomal protein L26	25656.5	17019.4	26128.2	14964.6
P61327;Q9CQL1	P61327;Q9CQL1	MGN2_MOUSE;MGN_MOUSE	Magoh;Magohb	Protein mago nashi homolog	6868.99	8796.78	18948.2	12594.1
P61358	P61358	RL27_MOUSE	Rpl27	60S ribosomal protein L27	18323.3	24426.1	24885.7	21895.1
P61460;P61460-2	P61460;P61460-2	DEPD5_MOUSE	Depdc5	GATOR complex protein DEPDC5	19311.2	7345.36	9858.35	5297.73
P61514	P61514	RL37A_MOUSE	Rpl37a	60S ribosomal protein L37a	30335.4	23251.5	12378.5	5699.85
P61620	P61620;Q9JLR1	S61A1_MOUSE	Sec61a1	Protein transport protein Sec61 subunit alpha isoform 1	15027.1	16019.7	18999.9	17952.6
P61750	P61750	ARF4_MOUSE	Arf4	ADP-ribosylation factor 4	7549.76	7296.56	12234.5	10006.7
P61804	P61804	DAD1_MOUSE	Dad1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	10343.2	4849.93	7683.51	8373.18
P61957;Q9Z172;Q9Z172-2	P61957;Q9Z172;Q9Z172-2	SUMO2_MOUSE;SUMO3_MOUSE	Sumo2;Sumo3	Small ubiquitin-related modifier 2	8492.92	3561.49	27131.6	21643.2
P61963	P61963	DCAF7_MOUSE	Dcaf7	DDB1- and CUL4-associated factor 7	16896.3	15841.6	14280.1	16223.1
P61967	P61967	AP1S1_MOUSE	Ap1s1	AP-1 complex subunit sigma-1A	28207.1	23644.8	16535.7	14206.4
P61979;P61979-2;P61979-3	P61979;P61979-2;P61979-3	HNRPK_MOUSE	Hnrnpk	Heterogeneous nuclear ribonucleoprotein K	85283.6	79408.9	169200	112689
P61982	P61982	1433G_MOUSE	Ywhag	14-3-3 protein gamma	1.69483e+06	1.36016e+06	1.77197e+06	1.45776e+06
P62046	P62046	LRCH1_MOUSE	Lrch1	Leucine-rich repeat and calponin homology domain-containing protein 1	59151.8	26429.9	33690.5	26149.2
P62071	P62071	RRAS2_MOUSE	Rras2	Ras-related protein R-Ras2	117056	123832	109113	62555.6
P62080	P62080	TSN5_MOUSE	Tspan5	Tetraspanin-5	368377	309598	257850	279532
P62082	P62082	RS7_MOUSE	Rps7	40S ribosomal protein S7	17266	24807.9	28015.8	20147.1
P62137	P62137	PP1A_MOUSE	Ppp1ca	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	22491	21955.4	29513.7	16004.5
P62192	P62192	PRS4_MOUSE	Psmc1	26S proteasome regulatory subunit 4	6169.7	8325.06	14541.5	9924.21
P62196	P62196	PRS8_MOUSE	Psmc5	26S proteasome regulatory subunit 8	5698.6	8226.92	13956.4	12421.9
P62242	P62242	RS8_MOUSE	Rps8	40S ribosomal protein S8	130869	155975	168658	120973
P62245	P62245	RS15A_MOUSE	Rps15a	40S ribosomal protein S15a	57015.5	85262.4	61280.3	46290.1
P62259	P62259	1433E_MOUSE	Ywhae	14-3-3 protein epsilon	668607	648300	1.48146e+06	851679
P62264	P62264	RS14_MOUSE	Rps14	40S ribosomal protein S14	59534.4	63545.8	58553.8	53737.8
P62270	P62270	RS18_MOUSE	Rps18	40S ribosomal protein S18	30192.8	33457.9	40547.5	24687.4
P62281	P62281	RS11_MOUSE	Rps11	40S ribosomal protein S11	18985.4	15606.3	32028.8	7996.68
P62305	P62305	RUXE_MOUSE	Snrpe	Small nuclear ribonucleoprotein E	15113.8	22964.8	12209.2	15650.7
P62307	P62307	RUXF_MOUSE	Snrpf	Small nuclear ribonucleoprotein F	4116.54	6085.66	13216.2	6114.15
P62309	P62309	RUXG_MOUSE	Snrpg	Small nuclear ribonucleoprotein G	16474.3	11224.5	30118.8	23234.4
P62311	P62311	LSM3_MOUSE	Lsm3	U6 snRNA-associated Sm-like protein LSm3	3007.13	3888.17	2910.87	3850.96
P62315	P62315	SMD1_MOUSE	Snrpd1	Small nuclear ribonucleoprotein Sm D1	7219.3	5986.63	9062.46	8367.88
P62317	P62317	SMD2_MOUSE	Snrpd2	Small nuclear ribonucleoprotein Sm D2	9217.21	10539.3	7634.62	10125
P62320	P62320	SMD3_MOUSE	Snrpd3	Small nuclear ribonucleoprotein Sm D3	13750.5	11840.1	23636.6	19134.6
P62331	P62331	ARF6_MOUSE	Arf6	ADP-ribosylation factor 6	7089.33	7887.12	8591.32	6261.67
P62482	P62482	KCAB2_MOUSE	Kcnab2	Voltage-gated potassium channel subunit beta-2	37222.6	44785.2	44039.6	14599.2
P62627	P62627	DLRB1_MOUSE	Dynlrb1	Dynein light chain roadblock-type 1	5196.47	5515.97	6994.01	3540.78
P62700	P62700	YPEL5_MOUSE	Ypel5	Protein yippee-like 5	40303.9	32783.2	29641.4	48183.7
P62702	P62702	RS4X_MOUSE	Rps4x	40S ribosomal protein S4, X isoform	23163.3	23534.4	38772.9	28990.8
P62717	P62717	RL18A_MOUSE	Rpl18a	60S ribosomal protein L18a	22409.2	15135.8	15339.2	17231
P62737	P62737;P63268	ACTA_MOUSE	Acta2	Actin, aortic smooth muscle	54797	50415.1	38039.5	39120.9
P62743	P62743	AP2S1_MOUSE	Ap2s1	AP-2 complex subunit sigma				5352.68
P62748	P62748	HPCL1_MOUSE	Hpcal1	Hippocalcin-like protein 1	9260.08	5138.39	10864.8	11741.4
P62751	P62751	RL23A_MOUSE	Rpl23a	60S ribosomal protein L23a	75912	31718.8	36811.3	26501.8
P62754	P62754	RS6_MOUSE	Rps6	40S ribosomal protein S6	224699	207670	407020	253139
P62774	P62774	MTPN_MOUSE	Mtpn	Myotrophin	31680.4	23152.5	29740.4	33951.7
P62806	P62806	H4_MOUSE	H4c1	Histone H4	2.0754e+06	1.56348e+06	2.04231e+06	2.10967e+06
P62814	P62814	VATB2_MOUSE	Atp6v1b2	V-type proton ATPase subunit B, brain isoform	57414.2	48794.4	90567	87569
P62821	P62821;Q9D1G1	RAB1A_MOUSE	Rab1A	Ras-related protein Rab-1A	70181.4	62605.8	89309.5	70807.1
P62827	P62827;Q61820	RAN_MOUSE	Ran	GTP-binding nuclear protein Ran	29387.3	24869.2	63153.8	36495.5
P62830	P62830	RL23_MOUSE	Rpl23	60S ribosomal protein L23	11008.3	21388.8	20637.3	13552.5
P62852	P62852	RS25_MOUSE	Rps25	40S ribosomal protein S25	27503.5	15297.3	43791.4	19771.2
P62858	P62858	RS28_MOUSE	Rps28	40S ribosomal protein S28	21142.4	23856.5	63487.4	28730.6
P62862	P62862	RS30_MOUSE	Fau	FAU ubiquitin-like and ribosomal protein S30		1809.76	11602.7	2987.82
P62869	P62869	ELOB_MOUSE	Elob	Elongin-B	4810.03	6119.33	10303.3	8299.5
P62874	P62874;P62880;Q61011	GBB1_MOUSE	Gnb1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	74109.6	64259.2	121485	140038
P62880	P62880	GBB2_MOUSE	Gnb2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	17313.9	20918.5	44978.2	38785.5
P62889	P62889	RL30_MOUSE	Rpl30	60S ribosomal protein L30	100701	117560	199224	123859
P62897	P62897	CYC_MOUSE	Cycs	Cytochrome c, somatic	40370.5	39626.4	55142.5	85363.4
P62900	P62900	RL31_MOUSE	Rpl31	60S ribosomal protein L31	19755.5	14322.4	22715.9	21704.3
P62908	P62908	RS3_MOUSE	Rps3	40S ribosomal protein S3	1.42131e+06	1.75784e+06	2.55525e+06	1.18909e+06
P62911	P62911	RL32_MOUSE	Rpl32	60S ribosomal protein L32	13046.2	13370.7	18318.5	16891.5
P62918	P62918	RL8_MOUSE	Rpl8	60S ribosomal protein L8	33419.2	36188.9	43514.6	34918.8
P62960	P62960;Q9JKB3;Q9Z2C8;Q9JKB3-2;Q9Z2C8-2	YBOX1_MOUSE	Ybx1	Y-box-binding protein 1	1.51485e+06	1.3986e+06	1.66062e+06	1.22931e+06
P62962	P62962	PROF1_MOUSE	Pfn1	Profilin-1	223816	149378	235504	277802
P62996	P62996	TRA2B_MOUSE	Tra2b	Transformer-2 protein homolog beta	276392	282272	314390	257090
P63001	P63001	RAC1_MOUSE	Rac1	Ras-related C3 botulinum toxin substrate 1	13052.9	13030.7	22154.6	23464.9
P63002;P63002-2	P63002;P63002-2	TLE5_MOUSE	Tle5	TLE family member 5	9845.57	6296.79	3258.57	7915.16
P63017	P63017	HSP7C_MOUSE	Hspa8	Heat shock cognate 71 kDa protein	212457	197144	324576	275382
P63024;P63044	P63024;P63044	VAMP2_MOUSE;VAMP3_MOUSE	Vamp2;Vamp3	Vesicle-associated membrane protein 3	41157.1	33478.1	51763.4	127092
P63028	P63028	TCTP_MOUSE	Tpt1	Translationally-controlled tumor protein	10299	7383.95	21736.8	9473.09
P63037	P63037	DNJA1_MOUSE	Dnaja1	DnaJ homolog subfamily A member 1	16460.5	13639.2	7411.16	9123.54
P63038	P63038;P63038-2	CH60_MOUSE	Hspd1	60 kDa heat shock protein, mitochondrial	129528	109492	233136	169677
P63087;P63087-2	P63087;P63087-2	PP1G_MOUSE	Ppp1cc	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	3349.63	7368.86	11422.9	2031.03
P63094;P63094-2;Q6R0H7;Q6R0H7-4	P63094;Q6R0H7;Q6R0H7-4;P63094-2;P63094-3	GNAS1_MOUSE;GNAS2_MOUSE	Gnas	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	143442	193809	89631.3	76012.9
P63101	P63101	1433Z_MOUSE	Ywhaz	14-3-3 protein zeta/delta	272375	255705	385498	317317
P63158	P63158	HMGB1_MOUSE	Hmgb1	High mobility group protein B1	27019.8	22357.8	23978.7	20521.4
P63213	P63213	GBG2_MOUSE	Gng2	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	16364.9	10856.5	28242.4	
P63242	P63242	IF5A1_MOUSE	Eif5a	Eukaryotic translation initiation factor 5A-1	20448.5	19052.8	29366.2	24852.8
P63254	P63254	CRIP1_MOUSE	Crip1	Cysteine-rich protein 1	74739.7	54805.5	85472.4	120066
P63276	P63276	RS17_MOUSE	Rps17	40S ribosomal protein S17	3867.67		8135.29	3756.54
P63321	P63321	RALA_MOUSE	Rala	Ras-related protein Ral-A	5150.67	3751.05	8117.38	5126.62
P63323	P63323	RS12_MOUSE	Rps12	40S ribosomal protein S12	16688.2	15228.8	42778.7	16558.2
P63325	P63325	RS10_MOUSE	Rps10	40S ribosomal protein S10	23965.7	14399.3	18813.1	14343.5
P67778	P67778	PHB1_MOUSE	Phb1	Prohibitin 1	36220.7	32712.9	55382.6	41944
P67984	P67984	RL22_MOUSE	Rpl22	60S ribosomal protein L22	37696.5	34315.9	43570.9	33074.7
P68037	P68037	UB2L3_MOUSE	Ube2l3	Ubiquitin-conjugating enzyme E2 L3	5970.79		7627.04	7986.71
P68040	P68040	RACK1_MOUSE	Rack1	Receptor of activated protein C kinase 1	40081.8	46347	81244.4	60089.7
P68254	P68254;P68254-2	1433T_MOUSE	Ywhaq	14-3-3 protein theta	62683.1	44127.3	63901.3	46261.6
P68368	P05213;P05214;P68368;P68369;P68373;Q9JJZ2	TBA4A_MOUSE	Tuba4a	Tubulin alpha-4A chain	206842	181601	193947	161266
P68369	P05213;P05214;P68369;P68373	TBA1A_MOUSE	Tuba1a	Tubulin alpha-1A chain	29839.7	20819.6	95902.7	39826.8
P68372	P68372	TBB4B_MOUSE	Tubb4b	Tubulin beta-4B chain	8647.46	9012.89	11086.6	8206.6
P68404	P68404	KPCB_MOUSE	Prkcb	Protein kinase C beta type	20638.3	24632.8	15464	17644.7
P68404-2	P20444;P63318;P68404;P68404-2	KPCB_MOUSE	Prkcb	Isoform Beta-II of Protein kinase C beta type	139212	64268.5	67787.6	115974
P68433;P84228	P02301;P68433;P84228;P84244	H31_MOUSE;H32_MOUSE	H3c1;H3c2	Histone H3.1	1.62169e+06	1.35839e+06	1.70751e+06	1.52432e+06
P68510	P68510	1433F_MOUSE	Ywhah	14-3-3 protein eta	63377.1	39746	68090.3	45522.6
P70121	P70121	ZHX1_MOUSE	Zhx1	Zinc fingers and homeoboxes protein 1	107748	113454	71874.9	111409
P70158	P70158	ASM3A_MOUSE	Smpdl3a	Acid sphingomyelinase-like phosphodiesterase 3a	13435.3	4556.04	21878.6	15261.2
P70168	P70168	IMB1_MOUSE	Kpnb1	Importin subunit beta-1	13085.8	16871.6	26407.5	12858.4
P70188;P70188-2	P70188;P70188-2	KIFA3_MOUSE	Kifap3	Kinesin-associated protein 3	51833.1	123004	76282.8	133478
P70195	P70195	PSB7_MOUSE	Psmb7	Proteasome subunit beta type-7	10507	8843.92	14360.4	10535.3
P70206	P70206	PLXA1_MOUSE	Plxna1	Plexin-A1	167617	126356	136612	111751
P70227	P70227	ITPR3_MOUSE	Itpr3	Inositol 1,4,5-trisphosphate receptor type 3	8184.64	3238.97	5089.35	22797.8
P70248	P70248	MYO1F_MOUSE	Myo1f	Unconventional myosin-If	5872.07	7292.92	6814.94	5063.67
P70255;P70255-2;P70255-3;P70255-5	P70255;P70255-2;P70255-3;P70255-5	NFIC_MOUSE	Nfic	Nuclear factor 1 C-type	100561	60594.4	44204.1	59291.2
P70257-2	P70257-2	NFIX_MOUSE	Nfix	Isoform NFIX2 of Nuclear factor 1 X-type	35069.4	22168.6	15178.8	
P70257;P70257-1	P70257;P70257-1	NFIX_MOUSE	Nfix	Nuclear factor 1 X-type	16105.1	6416.11	7333.08	4475.31
P70268;P70268-2	P70268;P70268-2	PKN1_MOUSE	Pkn1	Serine/threonine-protein kinase N1	174446	104023	131925	226786
P70271	P70271	PDLI4_MOUSE	Pdlim4	PDZ and LIM domain protein 4	64043.1	33417.6	26826.3	130740
P70280	P70280	VAMP7_MOUSE	Vamp7	Vesicle-associated membrane protein 7	56061.7	23936.8	49996.8	38953.9
P70288	P70288	HDAC2_MOUSE	Hdac2	Histone deacetylase 2	1.04404e+06	1.49347e+06	1.20133e+06	927431
P70290	P70290	EM55_MOUSE	Mpp1	55 kDa erythrocyte membrane protein	4505.85	4987.96	4038.93	13320.7
P70296	P70296	PEBP1_MOUSE	Pebp1	Phosphatidylethanolamine-binding protein 1	8591.66	6315.11	21104.7	8586.92
P70302	P70302	STIM1_MOUSE	Stim1	Stromal interaction molecule 1	54826.1	47361.7	34594.8	21962
P70303;P70303-2	P70303;P70303-2	PYRG2_MOUSE	Ctps2	CTP synthase 2	25373.7	17756.2	10182	9122.2
P70315	P70315	WASP_MOUSE	Was	Actin nucleation-promoting factor WAS	128822	120557	86287.1	122875
P70333	P70333	HNRH2_MOUSE	Hnrnph2	Heterogeneous nuclear ribonucleoprotein H2	22287.2	4696.08	22045.9	8924.2
P70336;P70336-2	P70336;P70336-2	ROCK2_MOUSE	Rock2	Rho-associated protein kinase 2	6842.1	6741.98		5318.35
P70347;P70347-2;P70347-4	P70347;P70347-2;P70347-3;P70347-4	TANK_MOUSE	Tank	TRAF family member-associated NF-kappa-B activator	10145.9	44936.7	14791.8	22414.6
P70349	P70349	HINT1_MOUSE	Hint1	Adenosine 5'-monophosphoramidase HINT1	27982		18966.8	31331.8
P70372	P70372	ELAV1_MOUSE	Elavl1	ELAV-like protein 1	9989.39	8872.74	25063.3	24092.4
P70388;P70388-2	P70388;P70388-2	RAD50_MOUSE	Rad50	DNA repair protein RAD50	8361.19	6976.29	11646.9	16617.1
P70398	P70398	USP9X_MOUSE	Usp9x	Probable ubiquitin carboxyl-terminal hydrolase FAF-X	27202.7	42076	20513.2	30515.1
P70399;P70399-5	P70399;P70399-5	TP53B_MOUSE	Tp53bp1	TP53-binding protein 1	178907	222697	168736	144373
P70404	P70404	IDHG1_MOUSE	Idh3g	Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial	18617.5	4323.69	3918.93	4977.31
P70429	P70429;P70429-2	EVL_MOUSE	Evl	Ena/VASP-like protein	470867	558858	447762	880175
P70441	P70441	NHRF1_MOUSE	Nherf1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	1.05912e+06	1.11075e+06	966303	1.21289e+06
P70452	P70452	STX4_MOUSE	Stx4	Syntaxin-4	1.63275e+06	1.34398e+06	1.34572e+06	1.65113e+06
P70460	P70460	VASP_MOUSE	Vasp	Vasodilator-stimulated phosphoprotein	21883.2	68273	20380.7	137580
P70658;P70658-2	P70658;P70658-2	CXCR4_MOUSE	Cxcr4	C-X-C chemokine receptor type 4	21097.6	7804.76	7193.18	21988.3
P70670;Q60817	P70670;Q60817	NACAM_MOUSE;NACA_MOUSE	Naca	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	6401.14	3375.38	10919.9	5456.59
P70671	P70671	IRF3_MOUSE	Irf3	Interferon regulatory factor 3	67628.5	60351.2	52826	51671.3
P70698	P70698	PYRG1_MOUSE	Ctps1	CTP synthase 1	112909	109324	114594	37033.9
P70699	P70699	LYAG_MOUSE	Gaa	Lysosomal alpha-glucosidase	825.77	8671.82		4191.12
P70704;P70704-2;P70704-3	P70704;P70704-2;P70704-3	AT8A1_MOUSE	Atp8a1	Phospholipid-transporting ATPase IA	153711	124723	131491	148335
P80313	P80313	TCPH_MOUSE	Cct7	T-complex protein 1 subunit eta	17043.8	14514	32504.8	11758.1
P80314	P80314	TCPB_MOUSE	Cct2	T-complex protein 1 subunit beta	20581.4	22441.6	29357.3	23875
P80315	P80315	TCPD_MOUSE	Cct4	T-complex protein 1 subunit delta	7835.09	5161.51	11718.2	6327.29
P80316	P80316	TCPE_MOUSE	Cct5	T-complex protein 1 subunit epsilon	6624.02	2342.86	16769.3	6181.33
P80317	P80317	TCPZ_MOUSE	Cct6a	T-complex protein 1 subunit zeta	7614.32	9720.38	21920.3	15226.2
P80318	P80318	TCPG_MOUSE	Cct3	T-complex protein 1 subunit gamma	80862.6	69645	153666	99489.4
P81117	P81117	NUCB2_MOUSE	Nucb2	Nucleobindin-2	84063.7	65694	57642	57853.2
P81122	P81122	IRS2_MOUSE	Irs2	Insulin receptor substrate 2	37939.4	43692.4	25964.1	38983.7
P82343;P82343-2	P82343;P82343-2	RENBP_MOUSE	Renbp	N-acylglucosamine 2-epimerase	39092.1	34696.7	31685.9	39379.5
P83093	P83093	STIM2_MOUSE	Stim2	Stromal interaction molecule 2	81500.2	110680	119665	155298
P83741;P83741-2;P83741-3;P83741-4;P83741-5	P83741;P83741-2;P83741-3;P83741-4;P83741-5	WNK1_MOUSE	Wnk1	Serine/threonine-protein kinase WNK1	5979.86	13531.2	12004.9	17358.4
P83870	P83870	PHF5A_MOUSE	Phf5a	PHD finger-like domain-containing protein 5A	31368.1	8600.36	14037.4	13954.6
P83882	P83882	RL36A_MOUSE	Rpl36a	60S ribosomal protein L36a	7762.48	15058.7	19594.2	12828.7
P83917	P83917	CBX1_MOUSE	Cbx1	Chromobox protein homolog 1	11876.1	10793.7	12034.1	7833.06
P84089	P84089	ERH_MOUSE	Erh	Enhancer of rudimentary homolog	20682.6	19518	34461.6	24546.5
P84091	P84091	AP2M1_MOUSE	Ap2m1	AP-2 complex subunit mu	9906.16	11287.6	19730.1	15718.4
P84096	P84096	RHOG_MOUSE	Rhog	Rho-related GTP-binding protein RhoG	24594.8	18517.2	34812.3	22441.9
P84099	P84099	RL19_MOUSE	Rpl19	60S ribosomal protein L19	8312.81	6328.64	27550.7	18462.9
P84104;P84104-2	P84104;P84104-2	SRSF3_MOUSE	Srsf3	Serine/arginine-rich splicing factor 3	168148	136225	231972	167117
P86048;Q6ZWV3	P86048;Q6ZWV3	RL10L_MOUSE;RL10_MOUSE	Rpl10;Rpl10l	60S ribosomal protein L10-like				13789.1
P97287;P97287-2	P97287;P97287-2	MCL1_MOUSE	Mcl1	Induced myeloid leukemia cell differentiation protein Mcl-1 homolog	159694	198882	219539	518000
P97300;P97300-1;P97300-3	P97300;P97300-1;P97300-3	NPTN_MOUSE	Nptn	Neuroplastin	30616.1	47029.3	81293.2	48398.6
P97302	P97302	BACH1_MOUSE	Bach1	Transcription regulator protein BACH1	71408.4	56942.8	67884.7	11811.9
P97305;P97305-2;P97305-3	P97305;P97305-2;P97305-3	NFAC3_MOUSE	Nfatc3	Nuclear factor of activated T-cells, cytoplasmic 3	7993.4	11069.5	8412.09	22124.5
P97310	P97310	MCM2_MOUSE	Mcm2	DNA replication licensing factor MCM2	77730.8	75071.6	33751.8	46918.7
P97333	P97333	NRP1_MOUSE	Nrp1	Neuropilin-1	37736.7	34930.1	34153.6	25841.6
P97351	P97351	RS3A_MOUSE	Rps3a	40S ribosomal protein S3a	75485.3	71904.7	83411	59163.9
